area_code,area_name,period,value,indicator,measure,unit,group
E23000005,Greater Manchester,2016/17,12.913500533947321,Offence rate,"Rate per 1,000",Offences,Other crimes against society
E92000001,England,2017/18,81.156227297451039,Offence rate,"Rate per 1,000",Offences,Total recorded crime
E23000005,Greater Manchester,2017/18,:,Offence rate,"Rate per 1,000",Offences,Total recorded crime
E92000001,England,2017/18,23.223918704938914,Offence rate,"Rate per 1,000",Offences,Violence against the person
E23000005,Greater Manchester,2017/18,:,Offence rate,"Rate per 1,000",Offences,Violence against the person
E92000001,England,2017/18,2.5136784241757275,Offence rate,"Rate per 1,000",Offences,Sexual offences
E23000005,Greater Manchester,2017/18,:,Offence rate,"Rate per 1,000",Offences,Sexual offences
E92000001,England,2017/18,1.3100331103438259,Offence rate,"Rate per 1,000",Offences,Robbery
E23000005,Greater Manchester,2017/18,:,Offence rate,"Rate per 1,000",Offences,Robbery
E92000001,England,2017/18,34.010429547777754,Offence rate,"Rate per 1,000",Offences,Theft offences
E23000005,Greater Manchester,2017/18,:,Offence rate,"Rate per 1,000",Offences,Theft offences
E92000001,England,2017/18,9.7043617643859719,Offence rate,"Rate per 1,000",Offences,Criminal damage and arson
E23000005,Greater Manchester,2017/18,:,Offence rate,"Rate per 1,000",Offences,Criminal damage and arson
E92000001,England,2017/18,10.393805745828846,Offence rate,"Rate per 1,000",Offences,Other crimes against society
E23000005,Greater Manchester,2017/18,:,Offence rate,"Rate per 1,000",Offences,Other crimes against society
E92000001,England,2018/19,87.234285406397362,Offence rate,"Rate per 1,000",Offences,Total recorded crime
E23000005,Greater Manchester,2018/19,:,Offence rate,"Rate per 1,000",Offences,Total recorded crime
E92000001,England,2018/19,27.842965374646887,Offence rate,"Rate per 1,000",Offences,Violence against the person
E23000005,Greater Manchester,2018/19,:,Offence rate,"Rate per 1,000",Offences,Violence against the person
E92000001,England,2018/19,2.7077866601025646,Offence rate,"Rate per 1,000",Offences,Sexual offences
E23000005,Greater Manchester,2018/19,:,Offence rate,"Rate per 1,000",Offences,Sexual offences
E92000001,England,2018/19,1.4462909388568266,Offence rate,"Rate per 1,000",Offences,Robbery
E23000005,Greater Manchester,2018/19,:,Offence rate,"Rate per 1,000",Offences,Robbery
E92000001,England,2018/19,33.816275311061695,Offence rate,"Rate per 1,000",Offences,Theft offences
E23000005,Greater Manchester,2018/19,:,Offence rate,"Rate per 1,000",Offences,Theft offences
E92000001,England,2018/19,9.4229279464684925,Offence rate,"Rate per 1,000",Offences,Criminal damage and arson
E23000005,Greater Manchester,2018/19,:,Offence rate,"Rate per 1,000",Offences,Criminal damage and arson
E92000001,England,2018/19,11.998039175260894,Offence rate,"Rate per 1,000",Offences,Other crimes against society
E23000005,Greater Manchester,2018/19,:,Offence rate,"Rate per 1,000",Offences,Other crimes against society
E92000001,England,2018,85.396821556334686,Offence rate,"Rate per 1,000",Offences,Total recorded crime
E23000005,Greater Manchester,2018,:,Offence rate,"Rate per 1,000",Offences,Total recorded crime
E92000001,England,2018,26.7564580968372,Offence rate,"Rate per 1,000",Offences,Violence against the person
E23000005,Greater Manchester,2018,:,Offence rate,"Rate per 1,000",Offences,Violence against the person
E92000001,England,2018,2.6566134736254856,Offence rate,"Rate per 1,000",Offences,Sexual offences
E23000005,Greater Manchester,2018,:,Offence rate,"Rate per 1,000",Offences,Sexual offences
E92000001,England,2018,1.3870337898841081,Offence rate,"Rate per 1,000",Offences,Robbery
E23000005,Greater Manchester,2018,:,Offence rate,"Rate per 1,000",Offences,Robbery
E92000001,England,2018,33.616353428265555,Offence rate,"Rate per 1,000",Offences,Theft offences
E23000005,Greater Manchester,2018,:,Offence rate,"Rate per 1,000",Offences,Theft offences
E92000001,England,2018,9.3844202656344642,Offence rate,"Rate per 1,000",Offences,Criminal damage and arson
E23000005,Greater Manchester,2018,:,Offence rate,"Rate per 1,000",Offences,Criminal damage and arson
E92000001,England,2018,11.595942502087867,Offence rate,"Rate per 1,000",Offences,Other crimes against society
E23000005,Greater Manchester,2018,:,Offence rate,"Rate per 1,000",Offences,Other crimes against society
E92000001,England,2019,88.015713611286031,Offence rate,"Rate per 1,000",Offences,Total recorded crime
E23000005,Greater Manchester,2019,:,Offence rate,"Rate per 1,000",Offences,Total recorded crime
E92000001,England,2019,29.093771760834354,Offence rate,"Rate per 1,000",Offences,Violence against the person
E23000005,Greater Manchester,2019,:,Offence rate,"Rate per 1,000",Offences,Violence against the person
E92000001,England,2019,2.6833640401643883,Offence rate,"Rate per 1,000",Offences,Sexual offences
E23000005,Greater Manchester,2019,:,Offence rate,"Rate per 1,000",Offences,Sexual offences
E92000001,England,2019,1.5389937317135165,Offence rate,"Rate per 1,000",Offences,Robbery
E23000005,Greater Manchester,2019,:,Offence rate,"Rate per 1,000",Offences,Robbery
E92000001,England,2019,32.797645516399832,Offence rate,"Rate per 1,000",Offences,Theft offences
E23000005,Greater Manchester,2019,:,Offence rate,"Rate per 1,000",Offences,Theft offences
E92000001,England,2019,9.2129897917616592,Offence rate,"Rate per 1,000",Offences,Criminal damage and arson
E23000005,Greater Manchester,2019,:,Offence rate,"Rate per 1,000",Offences,Criminal damage and arson
E92000001,England,2019,12.688948770412287,Offence rate,"Rate per 1,000",Offences,Other crimes against society
E23000005,Greater Manchester,2019,:,Offence rate,"Rate per 1,000",Offences,Other crimes against society
